DATE,M2SL_NBD20090101
2012-03-01,118.82504
2012-04-01,119.48223
2012-05-01,119.86590
2012-06-01,120.71069
2012-07-01,121.59663
2012-08-01,122.45716
2012-09-01,123.45323
2012-10-01,124.19273
2012-11-01,124.90197
2012-12-01,126.42453
2013-01-01,126.73315
2013-02-01,126.69684
2013-03-01,127.56221
2013-04-01,127.99066
2013-05-01,128.42879
2013-06-01,129.08961
2013-07-01,129.76738
2013-08-01,130.47541
2013-09-01,131.10718
2013-10-01,132.46998
2013-11-01,132.56439
2013-12-01,133.31478
2014-01-01,133.92719
2014-02-01,134.93295
2014-03-01,135.43643
2014-04-01,136.11662
2014-05-01,136.94326
2014-06-01,137.57625
2014-07-01,138.31816
2014-08-01,138.67157
2014-09-01,139.08792
2014-10-01,139.80684
2014-11-01,140.28127
2014-12-01,141.21805
2015-01-01,141.99385
2015-02-01,143.45106
2015-03-01,143.65560
2015-04-01,144.22686
2015-05-01,144.62263
2015-06-01,145.17089
2015-07-01,145.80025
2015-08-01,146.41751
2015-09-01,147.08922
2015-10-01,147.47531
2015-11-01,148.55490
2015-12-01,149.23146
2016-01-01,150.77943
2016-02-01,151.70290
2016-03-01,152.47265
2016-04-01,153.55345
2016-05-01,154.38613
2016-06-01,155.20430
2016-07-01,155.91475
2016-08-01,156.97255
2016-09-01,157.71083
2016-10-01,158.54110
2016-11-01,159.39194
2016-12-01,159.74656
2017-01-01,160.67244
2017-02-01,161.46761
2017-03-01,162.31845
2017-04-01,163.10999
2017-05-01,163.75992
2017-06-01,164.09397
2017-07-01,164.82136
2017-08-01,165.49308
2017-09-01,166.00988
2017-10-01,166.64528
2017-11-01,166.94786
2017-12-01,167.45256
2018-01-01,167.72729
2018-02-01,168.14485
2018-03-01,168.86861
2018-04-01,169.31037
2018-05-01,170.10675
2018-06-01,170.89466
2018-07-01,171.29405
2018-08-01,171.82659
2018-09-01,172.20783
2018-10-01,172.29134
2018-11-01,172.41237
2018-12-01,173.69893
2019-01-01,174.70227
2019-02-01,175.06294
2019-03-01,175.63662
2019-04-01,176.19941
2019-05-01,177.34799
2019-06-01,178.89112
2019-07-01,179.86057
2019-08-01,180.74288
2019-09-01,181.84668
2019-10-01,183.41644
2019-11-01,184.68121
2019-12-01,185.39771
