DATE,BOGMBASEW
2012-12-19,2670477
2012-12-26,2670477
2013-01-02,2690080
2013-01-09,2690080
2013-01-16,2741803
2013-01-23,2741803
2013-01-30,2799758
2013-02-06,2799758
2013-02-13,2840988
2013-02-20,2840988
2013-02-27,2886833
2013-03-06,2886833
2013-03-13,2932071
2013-03-20,2932071
2013-03-27,2965102
2013-04-03,2965102
2013-04-10,3028362
2013-04-17,3028362
2013-04-24,3004595
2013-05-01,3004595
2013-05-08,3069217
2013-05-15,3069217
2013-05-22,3158707
2013-05-29,3158707
2013-06-05,3214686
2013-06-12,3214686
2013-06-19,3177550
2013-06-26,3177550
2013-07-03,3245562
2013-07-10,3245562
2013-07-17,3288934
2013-07-24,3288934
2013-07-31,3359591
2013-08-07,3359591
2013-08-14,3383104
2013-08-21,3383104
2013-08-28,3448625
2013-09-04,3448625
2013-09-11,3485902
2013-09-18,3485902
2013-09-25,3500874
2013-10-02,3500874
2013-10-09,3578578
2013-10-16,3578578
2013-10-23,3607699
2013-10-30,3607699
2013-11-06,3665340
2013-11-13,3665340
2013-11-20,3691369
2013-11-27,3691369
2013-12-04,3736105
2013-12-11,3736105
2013-12-18,3730512
2013-12-25,3730512
2014-01-01,3652774
2014-01-08,3652774
2014-01-15,3753108
2014-01-22,3753108
2014-01-29,3757474
2014-02-05,3757474
2014-02-12,3839563
2014-02-19,3839563
2014-02-26,3865853
2014-03-05,3865853
2014-03-12,3911099
2014-03-19,3911099
2014-03-26,3864796
2014-04-02,3864796
2014-04-09,3975116
2014-04-16,3975116
2014-04-23,3895660
2014-04-30,3895660
2014-05-07,3888168
2014-05-14,3888168
2014-05-21,3921421
2014-05-28,3921421
2014-06-04,3974339
2014-06-11,3974339
2014-06-18,3950816
2014-06-25,3950816
2014-07-02,3886317
2014-07-09,3886317
2014-07-16,4000589
2014-07-23,4000589
2014-07-30,4084563
2014-08-06,4084563
2014-08-13,4076179
2014-08-20,4076179
2014-08-27,4068394
2014-09-03,4068394
2014-09-10,4083445
2014-09-17,4083445
2014-09-24,4007866
2014-10-01,4007866
2014-10-08,4065049
2014-10-15,4065049
2014-10-22,3956014
2014-10-29,3956014
2014-11-05,3871127
2014-11-12,3871127
2014-11-19,3815811
2014-11-26,3815811
2014-12-03,3759465
2014-12-10,3759465
2014-12-17,4062165
2014-12-24,4062165
2014-12-31,3929023
2015-01-07,3929023
2015-01-14,4069967
2015-01-21,4069967
2015-01-28,4004751
2015-02-04,4004751
2015-02-11,3839250
2015-02-18,3839250
2015-02-25,3776450
2015-03-04,3776450
2015-03-11,4090919
2015-03-18,4090919
2015-03-25,4043919
2015-04-01,4043919
2015-04-08,4130472
2015-04-15,4130472
2015-04-22,3995751
2015-04-29,3995751
2015-05-06,3970194
2015-05-13,3970194
2015-05-20,3939260
2015-05-27,3939260
2015-06-03,3917095
2015-06-10,3917095
2015-06-17,3940559
2015-06-24,3940559
2015-07-01,3875118
2015-07-08,3875118
2015-07-15,3995973
2015-07-22,3995973
2015-07-29,3983685
2015-08-05,3983685
